Entity,Code,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households
Afghanistan,AFG,2019,15.75,27.85,82.32
Afghanistan,AFG,2022,9.68,32.49,127.15
Africa (UN),,2019,15.43,27.34,110.03
Africa (UN),,2022,10.05,31.11,99.49
Algeria,DZA,2019,15.77,27.87,91.76
Algeria,DZA,2022,9.68,31.14,112.64
American Samoa,ASM,2019,18.28,32.31,88.48
American Samoa,ASM,2022,11.88,18.6,73.6
Andorra,AND,2019,12.94,25.82,85.11
Andorra,AND,2022,10.79,19.52,82.66
Angola,AGO,2019,15.38,27.2,97.97
Angola,AGO,2022,9.68,31.14,89.13
Anguilla,AIA,2022,18.16,28.78,119.3
Antigua and Barbuda,ATG,2019,13.5,26.95,77.92
Antigua and Barbuda,ATG,2022,14.45,40.79,84.49
Argentina,ARG,2019,2.76,27.67,72.49
Argentina,ARG,2021,1.45,,
Argentina,ARG,2022,2.76,47.55,91.34
Argentina,ARG,2017,,,0.22
Armenia,ARM,2019,16.4,28.99,97.57
Armenia,ARM,2022,31.46,29.4,101.86
Aruba,ABW,2019,12.79,25.54,73.82
Aruba,ABW,2022,15.56,43.91,90.96
Asia (UN),,2019,15.85,32.06,65.68
Asia (UN),,2022,19.65,36.54,73.22
Australia,AUS,2019,9.4,21.55,101.08
Australia,AUS,2022,20.9,58.24,97.76
Australia and New Zealand (UN),,2019,8.44,22.06,95.21
Australia and New Zealand (UN),,2022,17.96,55.14,91.69
Austria,AUT,2019,8.7,28.63,39.33
Austria,AUT,2020,9.47,22.67,82.81
Austria,AUT,2021,9.45,20,83.11
Austria,AUT,2022,9,23,83
Azerbaijan,AZE,2019,15.36,27.15,91.36
Azerbaijan,AZE,2022,31.47,29.41,101.9
Bahamas,BHS,2019,12.33,24.62,71.17
Bahamas,BHS,2022,15.06,42.49,88.03
Bahrain,BHR,2019,14.07,28.09,144.67
Bahrain,BHR,2022,27.48,24.31,131.51
Bangladesh,BGD,2019,15.41,3.29,64.15
Bangladesh,BGD,2022,9.68,32.49,82.38
Barbados,BRB,2019,13.12,26.19,75.72
Barbados,BRB,2022,14.97,42.24,87.51
Belarus,BLR,2019,15.28,27.01,66.81
Belarus,BLR,2022,13.59,17.23,70.7
Belgium,BEL,2019,9.74,19.75,50.04
Belgium,BEL,2020,6.37,7.64,70.85
Belgium,BEL,2021,5.99,8.3,69.92
Belgium,BEL,2022,6,8,71.02
Belize,BLZ,2019,15.69,27.74,52.85
Belize,BLZ,2022,19.23,48.1,53.29
Benin,BEN,2019,15.02,26.55,95.63
Benin,BEN,2022,9.68,31.13,89.11
Bermuda,BMU,2019,12.55,25.04,72.17
Bermuda,BMU,2022,15.89,45.48,73.51
Bhutan,BTN,2019,15.55,27.49,78.18
Bhutan,BTN,2022,9.65,32.38,19.26
Bolivia,BOL,2019,15.29,27.03,78.29
Bolivia,BOL,2022,13.32,47.75,90.12
